Name,Ubicación,Unidades,Players,Age,Language
GIFT TRAP,N0,1,3--8,6+,Español
GLOBALL,Q4,1,2--6,7+,Independiente
GO,CLASICOS 4,1,2,12+,Español
GOA,D5,1,2--4,12+,Independiente
GRAN FORSETI,R3,1,4--6,8+,Independiente
GRAN HERMANO,O3,1,4--6,16+,Español
GRAN HOTEL AUSTRIA,D4,1,2--4,12+,Español
GUACAMOLE,W6,1,2--4,6+,Español
GUERRA FRÍA CÍA VS KGB,Q2,1,2,12+,Español
GUILDS,K4,1,2--4,12+,Español
GUILDS OF LONDON,D4,1,1--4,10+,Español
HAMBURGUESA A LA MESA,X5,1,2--4,3+,Español/Portugués
HANABI,Q4,2,2--5,8+,Español
HARU ICHIBAN,I3,1,2,8+,Español/Inglés/Francés
HATFLINGS!,M3,1,2,10+,Español/Inglés
HEDBANZ,V7,1,2--6,7+,Español
HELL´S RISING,B1,1,2--4,12+,Español / Inglés
HELLO SUNSHINE!,W5,1,1,1+,Inglés
HELP ME!,Q2,1,2--6,7+,Independiente
HERENCIA DE TIA AGATA,CLASICOS 2,1,2--4,9+,Español
HEX,CLASICOS 4,1,2,12+,Español
HEXAFUTBOL,L5,1,2--4,8+,Español
HEXCALIBUR,F1,1,2,10+,Español/Inglés
HIPPO,R7,2,2--4,6+,Independiente
HISTORIAS CORRIENTES,A2,1,2--5,13+,Español
HIT Z ROAD,D1,1,1--4,12+,Español
HIVE,R5,1,2,8+,Español
HIVE EXPANSIÓN: LADYBUG,Q3,1,2,8+,Independiente
HIVE EXPANSIÓN: MOSQUITO,Q3,1,2,9+,Independiente
HIVE EXPANSIÓN: PILLBUG (BICHO-BOLA),Q3,1,2,9+,Independiente
"HOGAR, DULCE HOGAR",P1,1,2--4,7+,Español
HOLMES SHERLOCK & MYCROFT,S8,1,2,10+,Español
HOMBRES LOBO DE CASTRONEGRO,R6,3,8--18,10+,Español
HOMBRES LOBO DE CASTRONEGRO: LUNA NUEVA,R6,1,8--18,8+,Español
HOME SWEET HOME,Q4,1,2--4,8+,Independiente
HONSHU,R8,1,2--5,8+,Independiente
HOSTAGE NEGOTIATOR,K5,1,1,13+,Español
HOSTAGE NEGOTIATOR EXPANSIÓN 1 (DENTRO DEL BÁSICO),K5,1,1,13+,Español
HOSTAGE NEGOTIATOR EXPANSIÓN 2 (DENTRO DEL BÁSICO),K5,1,1,13+,Español
HOSTAGE: EXPANSIÓN 3 Y 4,K5,1,1,15+,Español
HOTEL DELUXE,P2,1,2--4,8+,Español
HUH,V9,1,2--4,5+,Independiente
HUIDA DE SILVER CITY,D3,1,1--4,12+,Español/Inglés
HUMANOS!!! 3 ZOMBIECON,D3,1,2--6,12+,Español
HUNDIR LA FLOTA,P3,1,2,8+,Español
HUNGRY SHARK,V8,1,2--6,6+,Español
ID4S,Q7,1,3--20,6+,Independiente
IDENTIC CARS,U2,1,1--4,4+,Independiente
IDENTIC CLUBHOUSE MICKEY,U2,1,1--4,4+,Independiente
IDENTIC FROZEN,U2,1,1--4,4+,Independiente
IDENTIC OBJECTS,W2,1,1+,6+,Independiente
IKONIKUS,Q7,3,2--8,7+,Independiente
ILLUMINATI,M4,1,2--6,12+,Español
IMAGINE,J3,1,3--8,12+,Español
IMHOTEP,H5,1,2--4,10+,Español
IMPLOIDING KITTENS,Q2,2,2--6,7+,inglés
INCÓMODOS INVITADOS,G1,1,2--8,12+,Español
INTELECT,P3,1,2--4,9+,Español
IQ BLOX,K5,1,1,6+,Independiente
IQ FOCUS,K5,1,1,8+,Independiente
IQ LINK,K5,1,1,8+,Español
IQ TWIST,K5,1,1,6+,Independiente
IQ XOXO,K5,1,1,6+,Independiente
ISLA DE SKYE,F3,1,2--5,8+,Español
ISTANBUL,E4,1,2--5,10+,Español
IT'S MINE,Q2,1,2,12+,Independiente
JAIPUR,N4,1,2,12+,Independiente
JENGA CLASSIC,J3,5,1+,6+,Independiente
JENGA QUAKE,J3,1,1--99,6+,Español
JENGA TETRIS,J3,1,1+,8+,Independiente
JOKO,N3,1,2--4,7+,Español
JUEGO DE LAS ESCALERAS,U8,1,2--4,5+,Español
JUEGO DE TRONOS,O5,1,3--5,12+,Español
JUEGO DE TRONOS TRIVIA,J2,1,2--4,18+,Español
JUEGO DE TRONOS: LA MANO DEL REY,N5,2,2--4,14+,Español
JUEGO MASTERMAN,O4,1,2,8+,Español/Portugués
JUEGO REAL DE UR,Z2,1,2,14+,Español
JUEGO SILLAS (HABILIDAD),J3,1,1--99,5+,Español/Portugués/Francés
JUEGO UNO TIKI TWIST,W3,1,2--10,7+,Independiente
JUMP IN,K5,1,1,7+,Español
JUNGLE SPEED,Q5,2,2--8,7+,Español
JUNGLE SPEED EXPANSION,Q5,1,2--15,7+,Español
JUNGLE SPEED SAFARI,Q5,1,2--6,5+,Español
JUNTA CARTAS,R8,1,3--6,12+,Español
KABALEO,K2,1,2--4,8+,Independiente
KALEIDOS,K2,1,2--12,10+,Independiente
KALUA,M2,1,3--5,8+,Español/Inglés
KANJI BATTLE SEGUNDA EDICIÓN,N4,1,2--6,12+,Español
KARIBOU CAMP,Q8,1,3--7,8+,Español/protugues
KEYFLOWER,F5,1,2--6,12+,Español/Portugués
KEYFLOWER EXPANSION: KEY CELESTE (DENTRO DEL BÁSICO),F5,1,2--6,12+,Español
KHARNAGE,C1,1,2--4,7+,Español
KIKI RICKY,K5,1,2--4,4+,Español/PORTUGUES/ITALIANO
KILL THE UNICORNS,P0,1,2--4,8+,Ingles
KING OF NEW YORK,F1,1,2--6,10+,Español
KING OF THE HILL,A3,1,2--5,10+,Independiente
KING OF TOKYO,F1,1,2--6,8+,Español
KINGDOM BUILDER,D4,1,2--4,8+,Inglés/Francés/Holandés/Español/Alemán
KINGDOMINO,M3,2,2--4,8+,Independiente
KITTY PAWN,S00,1,1--4,6+,Inglés
KIWIS VOLADORES,U8,1,2--4,5+,Español
KODAMA,N5,1,2--5,14+,Español
KRAZIA: HISPÁNICA,C5,1,1--8,12+,Español
KREUS,N4,1,3--6,10+,Español
KUNG FU,Q7,1,4--8,8+,Independiente
LA AVENTURA DEL PASO DEL NOROESTE,N2,1,2--4,10+,Independiente
LA COSA,Q2,1,4--12,12+,Español
LA CUCARACHA LOOP,K5,1,2--4,5+,Español/PORTUGUES/ITALIANO
LA ESCALERA ENCANTADA,V7,1,2--4,4+,Español/Portugués
LA FUGA DE COLDITZ,B3,1,2--6,12+,Español
LA FURIA DE DRÁCULA,C3,1,2--5,10+,Español
LA GRANJA,F0,1,1--4,12+,Español
LA ISLA PROHIBIDA,K2,1,2--4,10+,
LA POSADA SANGRIENTA,S8,1,1--4,14+,Español
LA RECETA DE LA BRUJA,V8,1,2--6,6+,Independiente
LA RESISTENCIA,R9,1,5--10,13+,Español
LA VILLA,E4,1,2--4,12+,Independiente
LABYRINTH CARD,K5,1,2--6,7+,Español/PORTUGUES/ITALIANO
LADRILLAZO,J3,1,2--4,18+,Español
LAS BRUJAS DE CERNEGULA,Q3,1,2--4,10+,Español/Inglés
LAS LEYENDAS DE ANDOR,L3,1,2--4,10+,Español
LAS LEYENDAS DE ANDOR: CAP II: VIAJE AL NORTE,B5,1,2--4,10+,Español
LAS LEYENDAS DE ANDOR: CHADA Y THORN,M2,1,2,10+,Español
LAS MAREAS DEL TIEMPO,M3,1,2,8+,Español
LAS MIL Y UNA NOCHES,H5,1,1--6,14+,Español
LAS VEGAS QUIZ,O5,1,4--18,8+,Español
LASER MAZE,I5,1,1+,8+,Independiente
LAST NIGHT ON EARTH,D2,1,2--6,14+,Ingles
LAZOS DE SANGRE,L3,1,6--12,14+,Español
LE HAVRE,E2,1,1--5,12+,Español
LEGADO PERDIDO: 1 - NAVE Y JARDÍN FLOTANTE,N3,2,2--6,10+,Español
LEGADO PERDIDO: 2 - LA ESPADA VORPAL Y EL CHAPITEL DE ELECTRO,N3,1,2--4,10+,Español
LEGADO PERDIDO: 3 - EL GRIAL SAGRADO Y EL BÁCULO DE DRAGONES,N3,1,2--6,10+,Español
LINCE,U7,1,5--10,13+,Español
LINCE DISNEY,U7,1,1--4,4+,Español
LINEA DIRECTA,T7,1,1--4,9+,Español
LINK: UN JUEGO DE MESA EN 8 BITS,L5,1,1--6,6+,Español
LIXO?,Q2,1,2--6,6+,Independiente
LOBO,J5,1,2--6,10+,Español/Portugués
LOCOS CRONONAUTAS,Q2,1,2--5,10+,Español
LONDON AFTER MIDNIGH,R6,1,2--6,9+,Independiente
LONDON AFTER MIDNIGHT 2 SHERLOCK IN HELL,R6,2,2--6,9+,Español/Inglés/Francés
LOONY QUEST,V8,1,2--5,8+,Español/Griego/Ucraniano
LOONY QUEST IN LOST CITY,V8,1,2--5,8+,Español
LORD OF THE PIGS,N2,1,3--4,14+,Independiente
LOS CASTILLOS DE BORGOÑAN,B5,1,2--4,12+,Español
LOS IMPOSTORES,Q2,1,3--6,14+,Español
LOS INMORTALES,P1,1,3--6,14+,Español
LOS TESOROS DE CASTELLINA,W8,1,2--4,5+,Español
LOVE LETTER,R5,2,2--4,8+,Español
LUCHADOR! EL JUEGO DE DADOS,K1,1,2--6,8+,Español
LUDI GLADIATORII,M3,1,2--5,10+,Español
LUNA LLENA,E3,1,2--7,14+,Español/Inglés
LUNA LLENA EXPASION LUNA DE MUERTE (DENTRO DEL ORIGINAL),E3,1,2--7,14+,Español/Inglés
MACBETH,R9,1,2--5,9+,Español
MADAME CHING,E5,1,2--4,8+,Independiente
MAFIA DE CUBA,J3,1,6--12,10+,Español/PORTUGUES/CATALAN
MAGE WARS ARENA,B2,1,2,14+,Español
MAGIC MAZE,S8,1,1--8,8+,Español
MAGIC MAZE: SEGURIDAD MÁXIMA,S8,1,1--8,8+,Español
MAGNATES,E5,1,2--5,10+,Español
MAHJONG,Z3,1,1--4,7+,Independiente
MANILA,D5,2,3--5,10+,Español
MANOS ARRIBA,R5,2,3--8,8+,Español
MARRONES,R7,1,2--9,89,Español
MARS ATTACKS: EL JUEGO DE DADOS,J3,1,3--6,10+,Español
MASCARADE,N4,1,2--13,10+,Español/Inglés/Japonés
MASCARADE: EXPANSION,N4,1,2--13,10+,Español
MASCOTAS,R5,1,2--8,7+,Español/Inglés
MASTER MIND COLORES,O4,2,2,8+,Español/Portugués
MASTERCHEF,O3,1,3--6,8+,Español
MATEMATIKUS,U9,1,2--99,5+,Español/Inglés
MATTERHORN,M3,1,2--4,8+,Español
MAYA EL ABECEDARIO,X3,1,1--4,4+,Español
MECANISBURGO,F3,2,2--6,14+,Español/Inglés
MEDITACIONES DISPARATADAS,R6,1,4--8,16+,Español
MEMO MADERA CAPERUCITA ROJA GOULA,U9,1,18,2+,Independiente
METAL MANIA,N5,1,2--5,10+,Español
MICRO ROBOTS,Q2,1,5--10,13+,Español
MIGUEL STROGOFF,B1,1,1--5,10+,español
MIKADO,CLASICOS 4,1,2--99,8+,Español
MIKADO DE MADERA,CLASICOS 4,1,2,8+,Independiente
MIL (1049),H0,1,2--5,12+,Español/Inglés
MIL KILOMENTROS FUN & SPEED,S3,1,2--6,8+,Español
MINI ABREMENTE,V2,1,2,3+,Español
MINISTERIO DEL TIEMPO,A4,1,2--4,10+,Español
MIS PRIMERAS CANCIONES,X2,1,1+,1+,Español
MISION: PLANETA ROJO,G3,1,2--6,14+,Español
MISTERIOS DE PEKIN,CLÁSICOS 2,1,2--4,8+,Español
MIX IT,Q2,1,2--6,5+,Español/Inglés
MIXMO,Q8,1,2--6,8+,Español
MOMBASA,H4,1,2--4,12+,Español
MONDRIAN THE DICE GAME,J3,2,2--4,10+,Español/Inglés/Alemán
MONEY LAND,M0,1,2--5,5+,Español
MONOPLY JUNIOR,V2,1,2--4,5+,Español
MONOPOLY,P1,1,2--8,8+,Español
MONOPOLY (DE VIAJE),P1,1,2--4,8+,Español
MONOPOLY DELUXE,P1,1,2--8,8+,Español
MONOPOLY EDICIÓN BARCELONA,P1,1,2--6,7+,Español
MONOPOLY ESPAÑA,P1,1,2--6,8+,Español
MONOPOLY JUNIOR,X8,1,2--6,8+,español
MONOS LOCOS,X5,2,2--4,5+,Español
MONSTARGH!,P2,1,2--6,6+,Español
MONSTER CLANS,Q3,1,2--4,8+,Español
MONSTRUO FINAL,N3,2,2--4,13+,Español
MONTAÑAS DE LA LOCURA,C1,1,1--8,14+,Español
MOUSE IN THE HOUSE,W6,1,2--4,5+,Español
MR. JACK,H4,1,2,9+,Independiente
MR. JACK EDICIÓN 10º ANIVERSARIO,H4,1,2,9+,Independiente
MR. JACK EN NY,H4,1,2,14+,Independiente
MR. JACK POCKET,H4,1,2,14+,Independiente
MUNCHKIN,T9,2,2,7+,Español
MUNCHKIN 3,T9,1,2--6,10+,Español
MUNCHKIN 4: ¡QUÉ LOCURA DE MONTURA!,T9,1,3--6,10+,Español
MUNCHKIN 5 EXPLORADORES EXPLOTADORES,T9,1,3--6,10+,Español
MUNCHKIN 6 MAZMORRAS MAJARETAS,T9,1,3--6,10+,Español
MUNCHKIN 7 TRAMPAS A DOS MANOS,T9,1,3--6,10+,Español
MUNCHKIN CTHULHU,T9,1,3--6,10+,Español
MUNCHKIN ZOMBIES 2º EDICIÓN,T9,1,3--6,10+,Español
MUNCHKIN: DESTRUYE LA NAVIDAD,T9,1,3--6,10+,Español
MUNDUS NOVUS,J3,1,2--6,14+,Independiente
MUSA,Q2,1,2--12,10+,Español
MUSIC IQ,O4,2,2--12,15+,Español
MY FIRST MEMORY®,U2,1,2--4,2+,Independiente
MY RUMMY,P4,1,2--4,8+,Independiente
MYSTERIUM,E3,1,2--7,10+,Independiente
MYSTERIUM EXPANSION HIDDEN SIGNS,E3,1,2--7,8+,Independiente
NADA!,R5,1,2--4,7+,Independiente
NARCOS: PLATA O PLOMO,B0,1,2--5,16+,Español
NAVEGANDO HACIA OSIRIS,E0,1,2--5,12+,Español
NAVÍOS DE LÍNEA TRAFALGAR 1805,C5,1,2--60,12+,Español
NIAGARA,I1,1,3--5,8+,Español
NMBR9,R9,1,1--4,8+,Español
NO GAME OVER,Q7,1,2--6,8+,Español/Inglés
NO TIME FOR HEROES,N2,1,1--4,8+,Español
NOT ALONE,J3,1,2--7,10+,Español
NOT ALONE EXPLORATION (ENTRO DEL BÁSICO),M4,1,2--7,10+,Español
NUMEROS LOCOS,L2,1,3--6,12+,Español
OCACHESS,U7,1,2--6,8+,Español
OCÉANOS,E5,1,2--5,8+,Independiente
ODYSSEY,EPP,1,2--5,13+,Independiente
OFFBOARD,I4,1,2,7+,Español
"OH MY GOODS! BUENO, BONITO Y BARATO",Q2,2,2--4,10+,Español
OH MY GOODS! DU MEINE GUTTER!,Q2,1,2--4,10+,Inglés/Aleman
OILFIELD,F3,1,2--5,12+,Español/Inglés
OLYMPIANS WAR,N4,1,2--6,8+,Español
OMERTA,L5,1,2--5,14+,Español
ON THE TOP,Q7,1,2--4,8+,Independiente
ONUS: EXPANSIÓN GRIEGOS Y PERSAS,M4,1,1--4,12+,Español
ONUS: ROMA VS CARTAGO,J3,2,1--4,12+,Español
OPERACIÓN,V7,1,1--6,6+,Español
ORIGAMI,R5,1,2--4,8+,Español
OTHELO,CLASICOS 2,1,2,8+,Independiente
OVEJA NEGRA,R9,1,2--4,8+,Español
OXO,Z2,1,,,Español
PACHISI,CLASICOS 4,1,2--4,8+,Español
PALABRAS OCULTAS,L2,1,2--99,8+,Español
PALABREA,Q4,1,2--5,6+,Español
PAMPLONA VIVA SAN FERMIN,H5,1,2--4,8+,Independiente
PANDEMIC,A5,2,2--4,8+,Español
"PANDEMIC, ¡AL LÍMITE!",A5,1,2--5,14+,Español
"PANDEMIC, EN EL LABORATORIO",A5,1,1--6,8+,Español
PANIC LAB,Q4,1,2--10,8+,Independiente
PAPILIO,R3,1,2--5,6+,Español/Catalan
PARADE,EPP,1,2--6,12+,Español
PARCHÍS+OCA CON TABLERO,T7,2,2--6,5+,Independiente
PARKING PUZZLE,K5,1,1,6+,Español
PARTY & CO,P5,1,3--20,14+,Español
PARTY AND CO 20 ANIVERSARIO,P5,1,4--20,14+,Español
PARTY CO DISNEY,X7,1,3--20,4+,Español
PARTY CO JUNIOR,X7,1,1--20,8+,Español
PASAPALABRA,O3,1,2+,12+,Español
PASSWORD,O3,1,2--8,8+,Español
PASSWORD EXPRESS,S2,1,2--10,10+,Independiente
PATCHWORK,L4,2,2,8+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS",B1,1,1--4,13+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS, LOS ASESINATOS DEL DESOLLADOR",B1,1,1--6,10+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: LA FORTALEZA DE LOS GIGANTES DE PIEDRA",B1,1,1--6,13+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: LA MASACRE DEL MONTE GARFIO",B1,1,1--6,13+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: LAS ESPIRAS DE XIN-SHALAST",B1,1,1--6,10+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: LOS PECADOS DE LOS SALVADORES",B1,1,1--6,10+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: OFRENDAS CALCINADAS",B1,1,1--6,13+,Español
"PATHFINDER, EL AUGE DE LOS SEÑORES DE LAS RUNAS: PERSONAJES ADICIONALES",B1,1,1--6,13+,Español
PATOS AL RESCATE,X6,2,2--6,3+,Español
PENTAURUS DUEL,Q2,1,1--2,8+,Español
PEQUEÑOS GRANDES WESTERN,M3,1,1--4,14+,Español
PERSONAJES HOMBRES LOBO DE CASTRONEGRO,R6,1,8--28,10+,Español
PICNIKO,U9,1,2--99,5+,Español/Inglés
PICTIONARY 2017 BORRABLES,P3,1,2--6,8+,Español
PICTOMANIA,U7,1,3--6,9+,Español
PICTUREKA,O3,1,2--7,6+,Español
PIKO PIKO,Q2,1,2--7,8+,Español
PILARES DE LA TIERRA JUEGO DE CARTAS,R3,1,3--4,10+,Español
PINCHA AL PIRATA,X1,1,2--4,3+,Español
PIRATAS AL AGUA,Q4,1,3--5,8+,Español
PIRATOONS,L2,1,2--4,8+,Independiente
PITCHCAR MINI,M5,1,2--8,6+,Español
PLUS ULTRA,H5,1,2--4,14+,Español/Inglés
POCKET INVADERS,R8,2,2--4,8+,Español
POLARION,V6,2,2,3+,Español
POLI BUENO POLI MALO,Q7,2,4--8,12+,Español
POLILLA TRAMPOSA,R2,1,3--5,7+,Español
POLIS: FIGHT FOR HEGEMONY,C5,1,2,12+,Inglés
POOL PARTY,K5,1,1,6+,Español
POPULI TUROLI,R3,1,3--8,8+,Independiente
PÓQUER DE BICHOS,R2,1,2--6,8+,Español
PORT ROYAL,N3,1,2--5,8+,Español
PORT ROYAL AMPLIACIÓN (DENTRO DEL BÁSICO),N3,1,1--5,8+,Español
PORTAL OF MORTH,C2,1,1--4,14+,Español/Inglés
POT DE VIN,M3,1,3--6,14+,Español
POTATO PALS,U6,1,1--4,3+,Español
POWERUP,O1,1,1--5,10+,Español
PREDATOR: PARTIDA DE CAZA,M5,1,1--5,14+,Español
PREGUNTAS DE MIERDA,R6,1,4--8,16+,Español
PREGUNTAS DE MIERDA 2,R6,4,2--24,18+,Español
PRIMERA CLASE,F4,1,2--4,10+,Español
PROHIS,M4,1,3--6,10+,Independiente
PROVINCIA ROMANA,A3,1,2--6,13+,Independiente
PRRRT…,R8,1,3--7,8+,Independiente
PUERTO RICO,F5,1,2--5,12+,Inglés
PUERTO RICO (Español),F5,1,2--5,12+,Español
PUG YOU! CARLINOS CABR**ES,Q5,1,5--10,16+,Español
PURPLE STORIES,Q1,1,2--15,8+,Español
QUADROPOLIS,I2,1,2--4,8+,Español
QUANTUM,A1,1,2--4,13+,Español
QUEST STORIES,N4,1,3--5,8+,Español
QUIEN ES QUIEN DE VIAJE,X7,1,2,6+,Español
QUIEN ES QUIEN DISNEY,X7,1,2,6+,Español
QUIZ CHEF,P5,1,2--10,14+,Español
QUIZOO,Q4,1,2--8,6+,Independiente
QUORIDOR,L2,1,2--4,8+,Independiente
QWIRKLE,V7,1,2--4,6+,Español/Inglés/Francés
RA,D4,1,2--5,14+,Independiente
RALLYRAS,Q7,1,3--8,9+,Español
RAPTOR,L4,1,2,9+,Independiente
RATLAND,J5,1,2--6,8+,Español
RATMEN TEAM,L1,1,2+,14+,Español
RAY MASTER,L3,2,1--2,10+,Español/Inglés
RED7,Q7,2,2--4,10+,Español
REGRESO AL FUTURO,M2,1,2--4,10+,Español
RESCATE,B5,1,2--6,10+,Español
RHINO HERO,W7,2,2--5,5+,Independiente
RHINO HERO SUPER BATTLE,W7,1,2--4,5+,Español
RIALTO,G3,1,2--5,10+,Español
RICK & MORTY MIX UP,A4,1,2--4,16+,Español
RICK Y MORTY,A4,1,2--4,16+,Español
RICK Y MORTY MEGASEMILLAS,Q3,2,2--4,16+,Español
RICOCHET ROBOTS,I5,1,1--15,10+,Español/Francés
RISK,O2,1,2--6,10+,Español
RISK EDICION 1996,O2,1,2--6,8+,Español
RISK EUROPA,O2,1,2--4,14+,Español
RISK SEÑOR DE LOS ANILLOS 2002,O2,1,2--4,9+,Español
RITMO Y BOLA,D4,1,4--12,8+,Español
RIVER BOAT,G5,1,2--4,10+,Español
ROK,I4,1,2--5,8+,Independiente
ROLL THROUGH THE AGES: LA EDAD DE BRONCE,M2,1,1--4,8+,Español
ROOM 25 SEGUNDA EDICION,B4,1,1--8,10+,Español
RULETA,CLASICOS 4,1,2--9,12+,Español
RUMBLE IN THE DUNGEON,Q2,1,3--6,8+,Español
RUMBLE IN THE HOUSE,Q2,1,3--6,8+,Español
RUMBO A LA INDIA,Q2,1,3--4,14+,Español
RUMMI CLASSIC METAL BOX,P4,1,2+,8+,Independiente
RUMMIKUB ORIGINAL,P4,1,2--4,8+,Independiente
RUMMY PRO,P4,1,2--6,7+,Independiente
RUSH HOUR SHIFT,I5,1,2,8+,Independiente
RUSSIAN RAILROADS,A3,1,2--4,13+,Español
SABOTEUR,EPR,1,3--10,8+,
SABOTEUR 1+2,N2,2,2--12,8+,Español/Portugués
SABOTEUR 2: EXPANSIÓN,EPR,1,2--12,8+,Español
SABOTEUR EL DESAFIO,M4,1,1--2,8+,Español
SALTA SALTA MI GORRITO,U8,1,2--4,5+,Español
SAMURAI SWORD,Q6,1,3--7,8+,Español
SAMURAI SWORD SOL NACIENTE,Q6,1,3--8,8+,Español
SANTIAGO,G2,1,3--5,10+,Español
SANTIAGO DE CUBA,G5,1,2--4,10+,Español
SAQUEADORES,Q2,1,2--6,10+,Español
SAQUEADORES MAR DEL NORTE,B3,1,2--4,12+,Español
SBLAP,V8,1,2--6,8+,Español/Inglés/ALEMAN
SCARAB LORDS,N4,2,2,12+,Español
SCATTERGORIES,P4,1,2--6,12+,Español
SCOTLAND YARD,EPP,1,2--4,8+,Español/PORTUGUES/ITALIANO
SCRABBLE,P3,1,2--4,10+,Español
SCRABBLE ORIGINAL+ 10 AÑOS,P3,1,2--4,10+,Español
SCUBA JUNIOR,P5,1,2--5,5+,Independiente
SE VENDE,N2,2,3--6,8+,Español
SECTOR 6,R6,1,1--6,8+,Independiente
SECUENZOOS,Q2,1,2--5,8+,Español/Inglés
SENTIENT,M5,1,2--4,12+,Español
SET BARAJA NAIPES MUS CON ACCESORIOS,CLASICOS 3,1,1+,6+,Independiente
SET DE BARAJA POKER CON FICHAS,CLASICOS 3,1,1+,6+,Independiente
SET DE MUS,CLASICOS 3,1,2+,6+,Independiente
SEVEN SWORDS,C1,1,2,14+,Español/Inglés
SHARK SHOOTER,W6,1,2--8,6+,Español
SHERLOCK : LA TUMBA DEL ARQUEÓLOGO,I3,1,1--8,8+,Español
SHERLOCK 13 REHENES,I3,1,1--8,8+,Español
SHERLOCK HOLMES: CARLTON HOUSE,I3,1,1--6,12+,Español
SHERLOCK HOLMES: DETECTIVE ASESOR,EPP,1,1--8,10+,Español
SHERLOCK ÚLTIMA LLAMADA,I3,1,1--8,8+,Español
SHERLOCK: MUERTE EL 4 DE JULIO,I3,1,1--8,8+,Español
SHINOBI,R7,1,4--6,10,Español
SHINOBI,S2,1,2--4,12+,Independiente
SI SEÑOR OSCURO CAJA ROJA,Q2,1,4--6,13+,Español
SI SEÑOR OSCURO CAJA VERDE,Q2,1,4--16,13+,Español
SIDIBABA,E3,1,3--7,14+,Independiente
SIMON AIR,W5,1,1--2,8+,Independiente
SIMON'S CAT CARD GAME,R7,1,3--6,6+,Inglés
SIMPLEMENTE GENIAL,O4,1,2--4,7+,Español
SIN PALABRAS,O0,1,2--99,10+,Español
SKULL & ROSES,Q2,1,3--6,14+,Español/Inglés
SKULL KING,R3,1,2--6,8+,Español
SMALLWORLD,K4,2,2--5,8+,Independiente
SMALLWORLD CUENTOS Y LEYENDAS,K4,1,2--5,8+,Español
SMALLWORLD REALMS,K4,1,2--6,8+,Independiente
SMALLWORLD UNDERGROUND,K4,1,2--5,8+,Independiente
SMASH UP,F1,1,2--4,12+,Español
SOCCER CITY,A0,1,2,10+,Español/Inglés
SOLITARIO,CLASICOS 4,1,1,12+,Español
SONGBIRDS,M4,1,1--4,8+,Español
SOPA DE BICHOS,R2,1,2--6,6+,Español
SOPA DE NUMEROS,R6,1,1--6,8+,Español
SORPRENDEDORES,I2,1,2--4,12+,Español/Inglés
SOSPECHOSOS INHABITUALES,K1,1,3--18,13+,Español
SPARTACUS EL JUEGO DE TABLERO,C4,1,2,12+,Español
SPEED CUPS,Q5,2,2--4,6+,Español
SPEED CUPS 2 (DENTRO DEL BÁSICO),Q5,1,2,6+,Español
SPOILERS THE BEGINNING,Q2,1,3--6,12+,Español
SPOILERS: THE GAME,Q2,2,3--6,12+,Español
STALAG 17,A3,1,2--5,10+,Español/Inglés
STALAG 18 (DENTRO DEL BÁSICO),A3,1,2--6,12+,Español/Inglés
STAR REALMS,R7,2,2,12+,Español
STAR WARS DESTINY: CAJA INICIO (2 MAZOS DIFERENTES KYLO REN VS REY),Q2,2,2,10+,Español
STAR WARS IMPERIO VS REBELLION,Q2,1,2,10+,Español
STAR WARS: IMPERIAL ASSAULT,A1,1,2--5,14+,Español
STAR WARS: REBELLION,A2,1,2--4,14+,Español
STEAM PARK,I2,1,2--4,8+,Español
STEVEN UNIVERSE,N3,1,2--4,13+,Español
STICK UP,Q8,1,3--12,6+,Español/Inglés
STICKMAN,Q8,1,2--6,6+,Independiente
STONE AGE JUNIOR,X8,1,2--4,5+,Español
STORY CUBES,R7,2,1--12,8+,Independiente
STORY CUBES ACCIONES,R7,1,1--12,6+,Independiente
STORY CUBES ANIMALIA,R7,1,1--12,6+,Independiente
STORY CUBES DEPORTES,R7,1,1--10,6+,Independiente
STORY CUBES DESTRUCTION,R7,1,2--9,8+,Español
STORY CUBES EXPLORACION,R7,1,2--9,8+,Español
STORY CUBES EXTRAÑO,R7,1,2--9,8+,Español
STORY CUBES GALAXIAS,R7,1,1--10,6+,Independiente
STORY CUBES HECHIZOS,R7,1,1--12,8+,Independiente
STORY CUBES MEDICO,R7,1,1--10,6+,Independiente
STORY CUBES MEDIEVAL,R7,1,1--99,6+,Independiente
STORY CUBES MITOLOGIA,R7,1,1--12,6+,Independiente
STORY CUBES PISTAS,R7,1,1--12,8+,Independiente
STORY CUBES PODERES,EPP,1,1--99,6+,Independiente
STORY CUBES PREHISTORIA,R7,1,1--12,8+,Independiente
STORY CUBES RESCATE,R7,1,1--99,6+,Independiente
STORY CUBES TERROR,EPP,2,1--12,6+,Independiente
STORY CUBES VIAJES,R7,1,1--12,8+,Independiente
STORYLINE: SCARY TALES,R9,1,3--8,8+,Inglés
STRATEGO ORIGINAL,P3,1,2,8+,Español/Portugués/Francés/Italiano
